Year,sex,age,pops,Age,Sex
2012,women,15,2951000,age15_19,/women
2012,women,20,3062000,age20_24,/women
2012,women,25,3451000,age25_29,/women
2012,women,30,3862000,age30_34,/women
2012,women,35,4636000,age35_39,/women
2012,women,40,4686000,age40_44,/women
2012,women,45,4073000,age45_49,/women
2012,women,50,3839000,age50_54,/women
2012,women,55,4011000,age55_59,/women
2012,women,60,5197000,age60_64,/women
2012,women,65,4306000,age65_69,/women
2012,women,70,3976000,age70_74,/women
2012,women,75,3492000,age75_79,/women
2012,women,80,5873000,age80_,/women
2013,men,0,2689000,age00_04,/men
2013,men,5,2740000,age05_09,/men
2013,men,10,2965000,age10_14,/men
2013,men,15,3092000,age15_19,/men
2013,men,20,3189000,age20_24,/men
2013,men,25,3502000,age25_29,/men
2013,men,30,3869000,age30_34,/men
2013,men,35,4593000,age35_39,/men
2013,men,40,4894000,age40_44,/men
2013,men,45,4207000,age45_49,/men
2013,men,50,3871000,age50_54,/men
2013,men,55,3851000,age55_59,/men
2013,men,60,4762000,age60_64,/men
2013,men,65,4165000,age65_69,/men
2013,men,70,3552000,age70_74,/men
2013,men,75,2756000,age75_79,/men
2013,men,80,3205000,age80_,/men
2013,women,0,2559000,age00_04,/women
2013,women,5,2614000,age05_09,/women
2013,women,10,2823000,age10_14,/women
2013,women,15,2944000,age15_19,/women
2013,women,20,3027000,age20_24,/women
2013,women,25,3361000,age25_29,/women
2013,women,30,3761000,age30_34,/women
2013,women,35,4468000,age35_39,/women
2013,women,40,4784000,age40_44,/women
2013,women,45,4159000,age45_49,/women
2013,women,50,3865000,age50_54,/women
2013,women,55,3903000,age55_59,/women
2013,women,60,4945000,age60_64,/women
2013,women,65,4497000,age65_69,/women
2013,women,70,4082000,age70_74,/women
2013,women,75,3512000,age75_79,/women
2013,women,80,6084000,age80_,/women
2014,men,0,2673000,age00_04,/men
2014,men,5,2719000,age05_09,/men
2014,men,10,2918000,age10_14,/men
2014,men,15,3081000,age15_19,/men
2014,men,20,3192000,age20_24,/men
2014,men,25,3417000,age25_29,/men
2014,men,30,3785000,age30_34,/men
2014,men,35,4406000,age35_39,/men
